zip_code,project_status,planning_neighborhood,lead_agency,general_housing_program,specific_program_area,project_type,housing_tenure,project_lead_sponsor,total_project_units,mohcd_affordable_units,%_affordable,sro_units,studio_units,1bd_units,2bd_units,3bd_units,4bd_units,5+_bd_units,mobility_units,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,20%_ami,30%_ami,40%_ami,50%_ami,55%_ami,60%_ami,80%_ami,90%_ami,100%_ami,105%_ami,110%_ami,120%_ami,130%_ami,150%_ami,ami_undeclared
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,John Jensen,266,109,41,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,79,3,0,0,5,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,L37 Partners,231,34,15,0,9,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,7,0,0,0,7,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,Nader Heydayian,96,17,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,4,0,0,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Newbs 0168, LLC",37,7,19,0,3,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0
94103,Pre-Construction,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"SF Green Homes, LLC",57,8,14,0,3,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0
94105,Construction,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Ownership,Pacific Howard Corporation,69,10,14,0,0,3,5,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
94105,Construction,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Chinatown Community Development Center,151,150,99,0,39,111,0,0,0,0,76,0,150,0,30,0,30,0,0,24,0,66,0,60,0,0,0,0,0,0,0,0,0
94105,Construction,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,New Construction,Rental,Mercy Housing CA,184,182,99,0,17,75,53,37,0,0,28,142,0,0,40,0,40,0,0,32,14,32,0,68,36,0,0,0,0,0,0,0,0
94105,Pre-Construction,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"J. Abrams Law, PC",334,50,15,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
94105,Pre-Construction,Financial District,MOHCD,Inclusionary Housing,Inclusionary Housing Program,New Construction,Rental,"Reuben, Junius & Rose, LLP",392,55,14,0,0,28,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,11,0,0,0,12,0,0,0,0
